group,names,scores,logfoldchanges,pvals,pvals_adj
8,COL1A2,48.30632,,0.0,0.0
8,BGN,47.286358,,0.0,0.0
8,TPM2,47.23672,,0.0,0.0
8,IFITM3,46.762882,,0.0,0.0
8,COL1A1,46.478027,,0.0,0.0
8,TPM1,46.300728,,0.0,0.0
8,TAGLN,45.745094,,0.0,0.0
8,TIMP1,45.7201,,0.0,0.0
8,COL6A2,45.480633,,0.0,0.0
8,COL6A1,45.40683,,0.0,0.0
8,LGALS1,44.918247,,0.0,0.0
8,IGFBP4,44.485394,,0.0,0.0
8,C1R,44.005486,,0.0,0.0
8,FSTL1,43.493774,,0.0,0.0
8,DCN,43.145123,,0.0,0.0
8,C11orf96,42.921528,,0.0,0.0
8,DSTN,42.818047,,0.0,0.0
8,C1S,42.77867,,0.0,0.0
8,VIM,42.620804,,0.0,0.0
8,CD63,42.49893,,0.0,0.0
8,AEBP1,42.429623,,0.0,0.0
8,COL4A2,42.280987,,0.0,0.0
8,CNN3,41.961296,,0.0,0.0
8,FN1,41.908573,,0.0,0.0
8,PALLD,41.60635,,0.0,0.0
8,CAVIN1,41.593113,,0.0,0.0
8,PTMS,41.273186,,0.0,0.0
8,FILIP1L,41.23637,,0.0,0.0
8,TIMP2,41.210773,,0.0,0.0
8,COL5A2,41.18644,,0.0,0.0
8,COL4A1,41.01863,,0.0,0.0
8,SERPING1,40.98989,,0.0,0.0
8,ANTXR1,40.528545,,0.0,0.0
8,CST3,40.202244,,0.0,0.0
8,THY1,40.114243,,0.0,0.0
8,MYLK,40.03302,,0.0,0.0
8,ACTA2,39.947365,,0.0,0.0
8,CDH11,39.91574,,0.0,0.0
8,PDGFRB,39.892807,,0.0,0.0
8,LAMA4,39.741215,,0.0,0.0
8,RARRES2,39.430286,,0.0,0.0
8,ITGB1,39.310177,,0.0,0.0
8,SERPINH1,39.290165,,0.0,0.0
8,CCDC80,39.198574,,0.0,0.0
8,SELENOM,39.183918,,0.0,0.0
9,HMGB2,40.433598,,0.0,0.0
9,HMGB1,39.51202,,0.0,0.0
9,HMGN2,39.343918,,0.0,0.0
9,STMN1,37.260834,,7.075096508293125e-304,4.6842445207281704e-300
9,MKI67,36.945137,,8.717650457654354e-299,4.617390741401205e-295
9,TUBB,36.66779,,2.382563681171951e-294,1.0516238994746129e-290
9,TOP2A,36.032433,,2.5990733736864288e-284,9.833037165048242e-281
9,TUBA1B,35.731148,,1.298504798005394e-279,4.2985378206971064e-276
9,PFN1,34.916454,,4.183949675559275e-267,1.231150436198181e-263
9,CENPF,34.630856,,8.674813745342528e-263,2.2973509241790617e-259
9,NUSAP1,34.43053,,8.80987897591975e-260,2.121018408357116e-256
9,GAPDH,34.213863,,1.5042550663336087e-256,3.319765576809413e-253
9,DEK,33.960545,,8.523866100389e-253,1.7364426610507838e-249
9,SMC4,33.703457,,5.144685993874399e-249,9.731908512555408e-246
9,ACTB,33.593212,,2.10770979288736e-247,3.72123189633573e-244
9,PCLAF,32.559143,,1.5543423384367124e-232,2.572728009301216e-229
9,TYMS,32.324898,,3.1263504175356618e-229,4.870302241623349e-226
9,H2AFV,31.765127,,1.9630621234555554e-221,2.8882096786374155e-218
9,CFL1,31.601711,,3.4975109962802424e-219,4.8749780902362976e-216
9,ANP32B,31.298615,,4.87343667149548e-215,6.453161168560741e-212
