group,names,scores,logfoldchanges,pvals,pvals_adj
2,TPM3,22.39933,,3.995336911573922e-111,7.723248717460744e-109
2,PFN1,22.298622,,3.810469272218101e-110,7.208046981153712e-108
2,PTPRC,22.27193,,6.915625856009933e-110,1.2989114861327025e-107
2,CD2,22.246447,,1.220892208171477e-109,2.2769639682398045e-107
2,SRP14,22.168287,,6.95038947548998e-109,1.2782441977736191e-106
2,SRGN,22.110588,,2.4998947191169692e-108,4.565842196301704e-106
2,LINC01871,21.939936,,1.0805275288263104e-106,1.9466401731909644e-104
3,IL2RB,28.132893,,3.8805605037900902e-174,1.0276888382187296e-169
3,PABPC1,28.026564,,7.712568635378152e-173,1.021259775853598e-168
3,TYROBP,27.903448,,2.423059666066756e-171,2.1389963045481966e-167
3,FCER1G,26.280466,,3.2073651874369338e-152,1.2134378894127473e-148
3,KLRB1,25.758692,,2.576004639741559e-146,8.527541359284462e-143
3,XCL2,25.119959,,3.0106377568529574e-139,7.973071971473686e-136
3,REL,24.833094,,3.9382125614435365e-136,9.481425751337198e-133
3,IFITM2,24.56112,,3.2901663284548893e-133,6.7025749904977575e-130
3,CD7,24.437891,,6.769180466304748e-132,1.280487187779633e-128
3,XCL1,23.811453,,2.5415724245575925e-125,3.542550658924143e-122
3,NR4A2,23.47581,,7.206559488481808e-122,9.542565746673186e-119
3,MT-ND3,22.844976,,1.6394620961735717e-115,1.8090781122068623e-112
3,IGKC,21.974382,,5.0639786900347136e-107,4.789619558863904e-104
3,KLRD1,21.885405,,3.578152939543593e-106,3.1586741432644325e-103
3,KLRC1,21.7969,,2.482750595386e-105,2.0547088755502323e-102
3,AC245297.3,21.634428,,8.519895230539865e-104,6.837345011829916e-101
3,IGHA1,20.560726,,6.170172896777473e-94,3.985480215252629e-91
3,TRDC,20.403221,,1.5655533172472256e-92,9.871559166823399e-90
3,CD63,20.144695,,2.995493908900313e-90,1.802946936122886e-87
3,KLRF1,19.544538,,4.5912072571203547e-85,2.3382488805830456e-82
3,ZFP36,18.894821,,1.2581161039425994e-79,5.647235386561333e-77
3,SPRY1,18.455114,,4.743577823556412e-76,1.9628776797069447e-73
3,SRGN,18.17292,,8.457547331492751e-74,3.3430033728346646e-71
3,DDX5,17.802246,,6.789047973719962e-71,2.532314894197546e-68
3,CD160,17.704697,,3.8575660011142124e-70,1.3994509644864067e-67
3,FOSB,16.979956,,1.1557393605068787e-64,3.8259306855379583e-62
3,GSTP1,16.670763,,2.138483642151908e-62,6.823308710254095e-60
3,MT-ATP8,16.519882,,2.639134006507882e-61,8.126998359807935e-59
3,FOSL2,16.466969,,6.336772101774011e-61,1.928927995072197e-58
3,CD247,16.41342,,1.533225829059764e-60,4.614138594430651e-58
3,CEBPD,16.38302,,2.528647981708103e-60,7.52429039321075e-58
3,RAB11FIP1,16.320505,,7.054910803161961e-60,2.0759466977793136e-57
3,ATP1B3,16.16555,,8.824740505061272e-59,2.5681934373136006e-56
3,CD69,15.666434,,2.5657592344910518e-55,7.152526506002792e-53
3,TXK,15.612462,,5.988105067201426e-55,1.6181937397417894e-52
3,XIST,15.576537,,1.0509541964532189e-54,2.811355554007131e-52
3,CLIC3,15.50189,,3.3683586978218005e-54,8.920424339441473e-52
3,YWHAZ,15.458961,,6.56491088689339e-54,1.7213716338376006e-51
3,ATF4,15.374984,,2.4090403693794505e-53,6.254766284536862e-51
3,CCL4,15.266065,,1.287095795373784e-52,3.309335723192614e-50
3,LSP1,15.228504,,2.2876558550034552e-52,5.769903810291096e-50
3,PREX1,15.123664,,1.1307237256570881e-51,2.7472437088602446e-49
3,HELZ,14.413517,,4.2547885863319265e-47,9.798223141898123e-45
3,MT-ND4L,14.402232,,5.009886960284954e-47,1.1437658307691933e-44
3,NKG7,14.37976,,6.933480570506532e-47,1.5693962901600383e-44
3,BTG2,14.176848,,1.2744217599727074e-45,2.812542622446434e-43
3,ABCB1,14.171262,,1.3799869652562579e-45,3.0203466777587997e-43
3,MAP3K8,14.125305,,2.6524738608686565e-45,5.711013435559727e-43
3,GPR65,14.01894,,1.1938479334400652e-44,2.5497318404268746e-42
3,LCP1,13.8672495,,1.0003984133396269e-43,2.086106392163255e-41
4,EEF1A1,53.793194,,0.0,0.0
4,RPS4X,53.554478,,0.0,0.0
4,RPS6,52.717506,,0.0,0.0
4,RPL3,52.49529,,0.0,0.0
4,RPS8,51.96864,,0.0,0.0
4,RPL32,51.791885,,0.0,0.0
4,RPL13,51.546276,,0.0,0.0
4,RPS13,51.37751,,0.0,0.0
4,RPS3A,51.208878,,0.0,0.0
4,RPL19,51.166454,,0.0,0.0
4,RPL10,50.81924,,0.0,0.0
4,TPT1,50.506893,,0.0,0.0
4,RPS3,50.06172,,0.0,0.0
4,RPL29,49.940586,,0.0,0.0
4,RPS5,49.5306,,0.0,0.0
4,RPL11,49.455257,,0.0,0.0
4,RPS23,48.86383,,0.0,0.0
4,RPS2,48.643852,,0.0,0.0
4,RPS18,48.068375,,0.0,0.0
4,RPSA,48.063984,,0.0,0.0
4,RACK1,48.022274,,0.0,0.0
4,RPL35A,48.00517,,0.0,0.0
4,RPS12,47.855526,,0.0,0.0
4,SARAF,47.649628,,0.0,0.0
4,RPL5,47.622772,,0.0,0.0
4,RPS25,47.462017,,0.0,0.0
4,CCR7,47.08544,,0.0,0.0
4,RPS14,47.018063,,0.0,0.0
4,RPL18,46.789837,,0.0,0.0
4,KLF2,46.757767,,0.0,0.0
4,RPL18A,46.371174,,0.0,0.0
4,RPL10A,46.051655,,0.0,0.0
4,RPL7A,46.00231,,0.0,0.0
4,RPL30,45.89212,,0.0,0.0
4,RPL9,45.800625,,0.0,0.0
4,RPS16,45.67457,,0.0,0.0
4,RPS27A,45.261177,,0.0,0.0
4,RPS15A,45.164993,,0.0,0.0
4,RPL22,44.899174,,0.0,0.0
4,EEF1B2,44.659683,,0.0,0.0
4,RPL34,44.64629,,0.0,0.0
4,FTH1,44.43103,,0.0,0.0
4,NACA,44.206345,,0.0,0.0
4,RPS15,44.057198,,0.0,0.0
4,RPL21,43.738873,,0.0,0.0
4,GPR183,43.548275,,0.0,0.0
4,RPL12,43.16302,,0.0,0.0
4,SC5D,43.03971,,0.0,0.0
4,RPS7,43.03919,,0.0,0.0
4,RPL6,42.885624,,0.0,0.0
